c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
Lucao,,40.0,23/3/1996,Goleiro,Bragantino
Nathan,,45.0,5/9/2001,Zagueiro,Bragantino
Cadu,,42.0,21/2/2002,Atacante,Atletico-Mg
Edenilson,Santos,15.0,,Meio-Campo,Gremio
Caique,Santos,97.0,,Goleiro,Gremio
Marquinhos,,10.0,8/5/1994,Meio-Campo,Criciuma
Lucas,Sasha,88.0,1/3/1990,Meio-Campo,Fortaleza
Juan,Dinenno,19.0,,Atacante,Cruzeiro
Lautaro,Diaz,26.0,,Meio-Campo,Cruzeiro
Carlos,Pena,14.0,11/3/1992,Meio-Campo,Bahia
Cauly,,8.0,,Meio-Campo,Bahia
Thiaguinho,,8.0,11/4/1997,Meio-Campo,Juventude
Matheus,Goncalves,20.0,18/8/2005,Meio-Campo,Flamengo
Junior,Alonso,8.0,9/2/1993,Zagueiro,Atletico-Mg
Allan,Loureiro,28.0,,Meio-Campo,Botafogo-Rj
Gabriel,Silva,19.0,3/7/2002,Atacante,Vasco
Adson,,28.0,6/10/2000,Meio-Campo,Vasco
Alex,Santana,80.0,13/5/1995,Meio-Campo,Corinthians
David,Fonseca,7.0,,Meio-Campo,Vasco
Pedro,Silva,4.0,,Zagueiro,Atletico-Go
Luiz,Araujo,7.0,,Meio-Campo,Flamengo
Pedro,,9.0,20/6/1997,Atacante,Flamengo
Gustavo,Nonato,16.0,,Meio-Campo,Fluminense
Fabricio,Bustos,16.0,28/4/1996,Zagueiro,Internacional
Muriel,Becker,22.0,,Goleiro,Vitoria
Osvaldo,Filho,11.0,,Meio-Campo,Vitoria
Jose,Breno,50.0,6/6/2004,Meio-Campo,Vitoria
Raphael,Veiga,23.0,19/6/1995,Meio-Campo,Palmeiras
Victor,Cuesta,15.0,19/11/1988,Zagueiro,Bahia
Max,,22.0,25/3/1998,Atacante,Atletico-Go
Julio,Miranda,5.0,,Meio-Campo,Bahia
Gabriel,Inocencio,12.0,20/8/1994,Zagueiro,Juventude
Guga,,23.0,29/8/1998,Zagueiro,Fluminense
Caique,Goncalves,95.0,,Meio-Campo,Juventude
Gabriel,Teixeira,11.0,1/4/2001,Atacante,Bahia
Reynaldo,Moraes,40.0,,Zagueiro,Vitoria
Lawan,,33.0,25/5/2005,Atacante,Vitoria
Felipe,Carballo,8.0,,Meio-Campo,Gremio
